,Field1,x,y,z,index,lat,lon
0,0,523287.32,4779588.315,1415.163,0,43.1686960562,-116.713510357
1,1,523364.669,4779587.901,1413.091,1,43.1686899416,-116.712558809
2,2,523347.101,4779571.386,1415.006,2,43.1685417716,-116.712775631
3,3,523292.471,4779530.766,1418.415,3,43.1681776854,-116.713449411
4,4,523261.446,4779532.147,1419.369,4,43.1681910762,-116.713831026
5,5,523329.469,4779525.61,1418.344,5,43.1681301163,-116.712994474
6,6,523363.86,4779530.064,1417.596,6,43.1681691612,-116.712571203
7,7,523394.301,4779529.544,1416.107,7,43.1681635373,-116.712196736
8,8,523369.977,4779471.1,1421.252,8,43.1676380183,-116.712498441
9,9,523350.138,4779492.353,1420.525,9,43.1678300084,-116.712741604
10,10,523309.664,4779492.732,1422.093,10,43.1678346702,-116.713239502
11,11,523289.035,4779469.338,1424.498,11,43.1676246498,-116.713494266
12,12,523280.395,4779432.804,1428.213,12,43.1672959377,-116.713602092
13,13,523313.421,4779420.761,1429.846,13,43.1671864762,-116.713196315
14,14,523305.912,4779572.552,1415.164,14,43.168553542,-116.713282298
