SourceFile,ExifToolVersion,FileName,Directory,FileSize,FileModifyDate,FileAccessDate,FileCreateDate,FilePermissions,FileType,FileTypeExtension,MIMEType,ExifByteOrder,ImageDescription,Make,Model,Orientation,XResolution,YResolution,ResolutionUnit,Software,ModifyDate,YCbCrPositioning,ExposureTime,FNumber,ExposureProgram,ISO,ExifVersion,DateTimeOriginal,CreateDate,ComponentsConfiguration,CompressedBitsPerPixel,ShutterSpeedValue,ApertureValue,ExposureCompensation,MaxApertureValue,SubjectDistance,MeteringMode,LightSource,Flash,FocalLength,SpeedX,SpeedY,SpeedZ,Pitch,Yaw,Roll,CameraPitch,CameraYaw,CameraRoll,FlashpixVersion,ColorSpace,ExifImageWidth,ExifImageHeight,InteropIndex,InteropVersion,ExposureIndex,FileSource,SceneType,CustomRendered,ExposureMode,WhiteBalance,DigitalZoomRatio,FocalLengthIn35mmFormat,SceneCaptureType,GainControl,Contrast,Saturation,Sharpness,DeviceSettingDescription,SubjectDistanceRange,GPSVersionID,GPSLatitudeRef,GPSLatitude,GPSLongitudeRef,GPSLongitude,GPSAltitudeRef,GPSAltitude,XPComment,XPKeywords,SerialNumber,Compression,ThumbnailOffset,ThumbnailLength,About,Format,AbsoluteAltitude,RelativeAltitude,GimbalRollDegree,GimbalYawDegree,GimbalPitchDegree,FlightRollDegree,FlightYawDegree,FlightPitchDegree,FlightXSpeed,FlightYSpeed,FlightZSpeed,CamReverse,GimbalReverse,Version,HasSettings,HasCrop,AlreadyApplied,MPFVersion,NumberOfImages,MPImageFlags,MPImageFormat,MPImageType,MPImageLength,MPImageStart,DependentImage1EntryNumber,DependentImage2EntryNumber,ImageUIDList,TotalFrames,ImageWidth,ImageHeight,EncodingProcess,BitsPerSample,ColorComponents,YCbCrSubSampling,Aperture,GPSPosition,ImageSize,PreviewImage,Megapixels,ScaleFactor35efl,ShutterSpeed,ThumbnailImage,CircleOfConfusion,FOV,FocalLength35efl,HyperfocalDistance,LightValue,ImageDescription,jpg_name
f:/k-database-mirror/remote-sensing/flights/paired_phenology/low_sage/20210428_los_paired/jpg/dji_0411_nadir.jpg,10.49,dji_0411_nadir.jpg,f:/k-database-mirror/remote-sensing/flights/paired_phenology/low_sage/20210428_los_paired/jpg,4.9 MB,2021:04:29 14:45:55-06:00,2022:03:06 00:27:45-07:00,2021:08:24 20:31:09-06:00,rw-rw-rw-,JPEG,jpg,image/jpeg,"Little-endian (Intel, II)",DCIM\100MEDIA\DJI_0411.JPG,DJI,FC330,Horizontal (normal),72,72,inches,v01.19.5266,2021:04:29 13:45:54,Centered,1/1135,2.8,Program AE,100,230,2021:04:29 13:45:54,2021:04:29 13:45:54,"-, Cr, Cb, Y",3.225498667,1/1135,2.8,0,2.8,0 m,Center-weighted average,Unknown,No flash function,3.6 mm,-0.1,0,0,3.6,-98.7,4.6,-90,-96.8,0,10,sRGB,4000,3000,R98 - DCF basic file (sRGB),100,undef,Digital Camera,Unknown (0),Normal,Auto,Auto,undef,20 mm,Standard,None,Normal,Normal,Normal,"(Binary data 4 bytes, use -b option to extract)",Unknown,0.0.0.0,North,43.142896 N,West,116.734915 W,Above Sea Level,1571.8 m Above Sea Level,0.91.142,N,5cff19366b42ffffff5e03ff5c72ff4f,JPEG (old-style),41984,8138,DJI Meta Data,image/jpeg,1571.81,27,0,-96.8,-90,4.6,-98.7,3.6,-0.1,0,0,0,0,7,FALSE,FALSE,FALSE,10,2,Dependent child image,JPEG,Large Thumbnail (VGA equivalent),266496,4896706,0,0,"(Binary data 66 bytes, use -b option to extract)",1,4000,3000,"Baseline DCT, Huffman coding",8,3,YCbCr4:2:2 (2 1),2.8,"43.142896 N, 116.734915 W",4000x3000,"(Binary data 266496 bytes, use -b option to extract)",12,5.5,1/1135,"(Binary data 8138 bytes, use -b option to extract)",0.005 mm,84.0 deg,3.6 mm (35 mm equivalent: 20.0 mm),0.86 m,13.1,DCIM,DJI_0411.JPG
f:/k-database-mirror/remote-sensing/flights/paired_phenology/low_sage/20210428_los_paired/jpg/dji_0412_nadir.jpg,10.49,dji_0412_nadir.jpg,f:/k-database-mirror/remote-sensing/flights/paired_phenology/low_sage/20210428_los_paired/jpg,4.9 MB,2021:04:29 14:45:59-06:00,2022:03:06 00:27:54-07:00,2021:08:24 22:11:56-06:00,rw-rw-rw-,JPEG,jpg,image/jpeg,"Little-endian (Intel, II)",DCIM\100MEDIA\DJI_0412.JPG,DJI,FC330,Horizontal (normal),72,72,inches,v01.19.5266,2021:04:29 13:45:58,Centered,1/1117,2.8,Program AE,100,230,2021:04:29 13:45:58,2021:04:29 13:45:58,"-, Cr, Cb, Y",3.216972,1/1117,2.8,0,2.8,0 m,Center-weighted average,Unknown,No flash function,3.6 mm,-0.1,-5.2,0.1,-6.5,-89.7,6.6,-90,-90.1,0,10,sRGB,4000,3000,R98 - DCF basic file (sRGB),100,undef,Digital Camera,Unknown (0),Normal,Auto,Auto,undef,20 mm,Standard,None,Normal,Normal,Normal,"(Binary data 4 bytes, use -b option to extract)",Unknown,0.0.0.0,North,43.142896 N,West,116.735043 W,Above Sea Level,1571.5 m Above Sea Level,0.91.142,N,5cff19366b42ffffff5e03ff5c72ff4f,JPEG (old-style),41984,8376,DJI Meta Data,image/jpeg,1571.51,26.7,0,-90.1,-90,6.6,-89.7,-6.5,-0.1,-5.2,0.1,0,0,7,FALSE,FALSE,FALSE,10,2,Dependent child image,JPEG,Large Thumbnail (VGA equivalent),277262,4884154,0,0,"(Binary data 66 bytes, use -b option to extract)",1,4000,3000,"Baseline DCT, Huffman coding",8,3,YCbCr4:2:2 (2 1),2.8,"43.142896 N, 116.735043 W",4000x3000,"(Binary data 277262 bytes, use -b option to extract)",12,5.5,1/1117,"(Binary data 8376 bytes, use -b option to extract)",0.005 mm,84.0 deg,3.6 mm (35 mm equivalent: 20.0 mm),0.86 m,13.1,DCIM,DJI_0412.JPG
f:/k-database-mirror/remote-sensing/flights/paired_phenology/low_sage/20210428_los_paired/jpg/dji_0413_nadir.jpg,10.49,dji_0413_nadir.jpg,f:/k-database-mirror/remote-sensing/flights/paired_phenology/low_sage/20210428_los_paired/jpg,4.8 MB,2021:04:29 14:46:03-06:00,2022:03:06 00:28:35-07:00,2021:08:24 22:11:57-06:00,rw-rw-rw-,JPEG,jpg,image/jpeg,"Little-endian (Intel, II)",DCIM\100MEDIA\DJI_0413.JPG,DJI,FC330,Horizontal (normal),72,72,inches,v01.19.5266,2021:04:29 13:46:01,Centered,1/1093,2.8,Program AE,100,230,2021:04:29 13:46:01,2021:04:29 13:46:01,"-, Cr, Cb, Y",3.154676,1/1092,2.8,0,2.8,0 m,Center-weighted average,Unknown,No flash function,3.6 mm,0,-5,0.2,-3.6,-89.9,4.4,-90,-89.9,0,10,sRGB,4000,3000,R98 - DCF basic file (sRGB),100,undef,Digital Camera,Unknown (0),Normal,Auto,Auto,undef,20 mm,Standard,None,Normal,Normal,Normal,"(Binary data 4 bytes, use -b option to extract)",Unknown,0.0.0.0,North,43.142894 N,West,116.735299 W,Above Sea Level,1570.6 m Above Sea Level,0.91.142,N,5cff19366b42ffffff5e03ff5c72ff4f,JPEG (old-style),41984,8215,DJI Meta Data,image/jpeg,1570.61,25.8,0,-89.9,-90,4.4,-89.9,-3.6,0,-5,0.2,0,0,7,FALSE,FALSE,FALSE,10,2,Dependent child image,JPEG,Large Thumbnail (VGA equivalent),277000,4790549,0,0,"(Binary data 66 bytes, use -b option to extract)",1,4000,3000,"Baseline DCT, Huffman coding",8,3,YCbCr4:2:2 (2 1),2.8,"43.142894 N, 116.735299 W",4000x3000,"(Binary data 277000 bytes, use -b option to extract)",12,5.5,1/1093,"(Binary data 8215 bytes, use -b option to extract)",0.005 mm,84.0 deg,3.6 mm (35 mm equivalent: 20.0 mm),0.86 m,13.1,DCIM,DJI_0413.JPG
f:/k-database-mirror/remote-sensing/flights/paired_phenology/low_sage/20210428_los_paired/jpg/dji_0414_nadir.jpg,10.49,dji_0414_nadir.jpg,f:/k-database-mirror/remote-sensing/flights/paired_phenology/low_sage/20210428_los_paired/jpg,5.1 MB,2021:04:29 14:46:06-06:00,2022:03:06 00:27:33-07:00,2021:08:24 22:11:57-06:00,rw-rw-rw-,JPEG,jpg,image/jpeg,"Little-endian (Intel, II)",DCIM\100MEDIA\DJI_0414.JPG,DJI,FC330,Horizontal (normal),72,72,inches,v01.19.5266,2021:04:29 13:46:05,Centered,1/1105,2.8,Program AE,100,230,2021:04:29 13:46:04,2021:04:29 13:46:04,"-, Cr, Cb, Y",3.352204,1/1104,2.8,0,2.8,0 m,Center-weighted average,Unknown,No flash function,3.6 mm,0,-5,0.2,-3.1,-90.2,5.1,-90,-89.9,0,10,sRGB,4000,3000,R98 - DCF basic file (sRGB),100,undef,Digital Camera,Unknown (0),Normal,Auto,Auto,undef,20 mm,Standard,None,Normal,Normal,Normal,"(Binary data 4 bytes, use -b option to extract)",Unknown,0.0.0.0,North,43.142894 N,West,116.735423 W,Above Sea Level,1570.2 m Above Sea Level,0.91.142,N,5cff19366b42ffffff5e03ff5c72ff4f,JPEG (old-style),41984,8331,DJI Meta Data,image/jpeg,1570.21,25.4,0,-89.9,-90,5.1,-90.2,-3.1,0,-5,0.2,0,0,7,FALSE,FALSE,FALSE,10,2,Dependent child image,JPEG,Large Thumbnail (VGA equivalent),285108,5086957,0,0,"(Binary data 66 bytes, use -b option to extract)",1,4000,3000,"Baseline DCT, Huffman coding",8,3,YCbCr4:2:2 (2 1),2.8,"43.142894 N, 116.735423 W",4000x3000,"(Binary data 285108 bytes, use -b option to extract)",12,5.5,1/1105,"(Binary data 8331 bytes, use -b option to extract)",0.005 mm,84.0 deg,3.6 mm (35 mm equivalent: 20.0 mm),0.86 m,13.1,DCIM,DJI_0414.JPG
f:/k-database-mirror/remote-sensing/flights/paired_phenology/low_sage/20210428_los_paired/jpg/dji_0415_nadir.jpg,10.49,dji_0415_nadir.jpg,f:/k-database-mirror/remote-sensing/flights/paired_phenology/low_sage/20210428_los_paired/jpg,4.9 MB,2021:04:29 14:46:10-06:00,2022:03:06 00:27:29-07:00,2021:08:24 22:11:58-06:00,rw-rw-rw-,JPEG,jpg,image/jpeg,"Little-endian (Intel, II)",DCIM\100MEDIA\DJI_0415.JPG,DJI,FC330,Horizontal (normal),72,72,inches,v01.19.5266,2021:04:29 13:46:09,Centered,1/1075,2.8,Program AE,100,230,2021:04:29 13:46:05,2021:04:29 13:46:05,"-, Cr, Cb, Y",3.144266667,1/1075,2.8,0,2.8,0 m,Center-weighted average,Unknown,No flash function,3.6 mm,0,-4.9,0.1,-3,-90.2,4,-90,-89.8,0,10,sRGB,4000,3000,R98 - DCF basic file (sRGB),100,undef,Digital Camera,Unknown (0),Normal,Auto,Auto,undef,20 mm,Standard,None,Normal,Normal,Normal,"(Binary data 4 bytes, use -b option to extract)",Unknown,0.0.0.0,North,43.142895 N,West,116.735544 W,Above Sea Level,1569.8 m Above Sea Level,0.91.142,N,5cff19366b42ffffff5e03ff5c72ff4f,JPEG (old-style),41984,8373,DJI Meta Data,image/jpeg,1569.81,25,0,-89.8,-90,4,-90.2,-3,0,-4.9,0.1,0,0,7,FALSE,FALSE,FALSE,10,2,Dependent child image,JPEG,Large Thumbnail (VGA equivalent),315413,4775093,0,0,"(Binary data 66 bytes, use -b option to extract)",1,4000,3000,"Baseline DCT, Huffman coding",8,3,YCbCr4:2:2 (2 1),2.8,"43.142895 N, 116.735544 W",4000x3000,"(Binary data 315413 bytes, use -b option to extract)",12,5.5,1/1075,"(Binary data 8373 bytes, use -b option to extract)",0.005 mm,84.0 deg,3.6 mm (35 mm equivalent: 20.0 mm),0.86 m,13,DCIM,DJI_0415.JPG
f:/k-database-mirror/remote-sensing/flights/paired_phenology/low_sage/20210428_los_paired/jpg/dji_0416_nadir.jpg,10.49,dji_0416_nadir.jpg,f:/k-database-mirror/remote-sensing/flights/paired_phenology/low_sage/20210428_los_paired/jpg,4.8 MB,2021:04:29 14:46:14-06:00,2022:03:06 00:27:38-07:00,2021:08:24 22:11:59-06:00,rw-rw-rw-,JPEG,jpg,image/jpeg,"Little-endian (Intel, II)",DCIM\100MEDIA\DJI_0416.JPG,DJI,FC330,Horizontal (normal),72,72,inches,v01.19.5266,2021:04:29 13:46:12,Centered,1/976,2.8,Program AE,100,230,2021:04:29 13:46:08,2021:04:29 13:46:08,"-, Cr, Cb, Y",3.149990667,1/975,2.8,0,2.8,0 m,Center-weighted average,Unknown,No flash function,3.6 mm,0,-5,0.1,-4.2,-90.1,3.9,-90,-89.8,0,10,sRGB,4000,3000,R98 - DCF basic file (sRGB),100,undef,Digital Camera,Unknown (0),Normal,Auto,Auto,undef,20 mm,Standard,None,Normal,Normal,Normal,"(Binary data 4 bytes, use -b option to extract)",Unknown,0.0.0.0,North,43.142894 N,West,116.735665 W,Above Sea Level,1569.4 m Above Sea Level,0.91.142,N,5cff19366b42ffffff5e03ff5c72ff4f,JPEG (old-style),41984,8522,DJI Meta Data,image/jpeg,1569.41,24.6,0,-89.8,-90,3.9,-90.1,-4.2,0,-5,0.1,0,0,7,FALSE,FALSE,FALSE,10,2,Dependent child image,JPEG,Large Thumbnail (VGA equivalent),301418,4783828,0,0,"(Binary data 66 bytes, use -b option to extract)",1,4000,3000,"Baseline DCT, Huffman coding",8,3,YCbCr4:2:2 (2 1),2.8,"43.142894 N, 116.735665 W",4000x3000,"(Binary data 301418 bytes, use -b option to extract)",12,5.5,1/976,"(Binary data 8522 bytes, use -b option to extract)",0.005 mm,84.0 deg,3.6 mm (35 mm equivalent: 20.0 mm),0.86 m,12.9,DCIM,DJI_0416.JPG
f:/k-database-mirror/remote-sensing/flights/paired_phenology/low_sage/20210428_los_paired/jpg/dji_0417_nadir.jpg,10.49,dji_0417_nadir.jpg,f:/k-database-mirror/remote-sensing/flights/paired_phenology/low_sage/20210428_los_paired/jpg,4.7 MB,2021:04:29 14:46:18-06:00,2022:03:06 00:27:21-07:00,2021:08:24 22:11:59-06:00,rw-rw-rw-,JPEG,jpg,image/jpeg,"Little-endian (Intel, II)",DCIM\100MEDIA\DJI_0417.JPG,DJI,FC330,Horizontal (normal),72,72,inches,v01.19.5266,2021:04:29 13:46:16,Centered,1/924,2.8,Program AE,100,230,2021:04:29 13:46:10,2021:04:29 13:46:10,"-, Cr, Cb, Y",3.066201333,1/924,2.8,0,2.8,0 m,Center-weighted average,Unknown,No flash function,3.6 mm,0,-5,0.1,-3.8,-89.9,3.6,-90,-89.8,0,10,sRGB,4000,3000,R98 - DCF basic file (sRGB),100,undef,Digital Camera,Unknown (0),Normal,Auto,Auto,undef,20 mm,Standard,None,Normal,Normal,Normal,"(Binary data 4 bytes, use -b option to extract)",Unknown,0.0.0.0,North,43.142895 N,West,116.735788 W,Above Sea Level,1568.9 m Above Sea Level,0.91.142,N,5cff19366b42ffffff5e03ff5c72ff4f,JPEG (old-style),41984,8385,DJI Meta Data,image/jpeg,1568.91,24.1,0,-89.8,-90,3.6,-89.9,-3.8,0,-5,0.1,0,0,7,FALSE,FALSE,FALSE,10,2,Dependent child image,JPEG,Large Thumbnail (VGA equivalent),308964,4658007,0,0,"(Binary data 66 bytes, use -b option to extract)",1,4000,3000,"Baseline DCT, Huffman coding",8,3,YCbCr4:2:2 (2 1),2.8,"43.142895 N, 116.735788 W",4000x3000,"(Binary data 308964 bytes, use -b option to extract)",12,5.5,1/924,"(Binary data 8385 bytes, use -b option to extract)",0.005 mm,84.0 deg,3.6 mm (35 mm equivalent: 20.0 mm),0.86 m,12.8,DCIM,DJI_0417.JPG
f:/k-database-mirror/remote-sensing/flights/paired_phenology/low_sage/20210428_los_paired/jpg/dji_0418_nadir.jpg,10.49,dji_0418_nadir.jpg,f:/k-database-mirror/remote-sensing/flights/paired_phenology/low_sage/20210428_los_paired/jpg,4.7 MB,2021:04:29 14:46:21-06:00,2022:03:06 00:27:17-07:00,2021:08:24 22:12:00-06:00,rw-rw-rw-,JPEG,jpg,image/jpeg,"Little-endian (Intel, II)",DCIM\100MEDIA\DJI_0418.JPG,DJI,FC330,Horizontal (normal),72,72,inches,v01.19.5266,2021:04:29 13:46:20,Centered,1/924,2.8,Program AE,100,230,2021:04:29 13:46:12,2021:04:29 13:46:12,"-, Cr, Cb, Y",3.065091333,1/924,2.8,0,2.8,0 m,Center-weighted average,Unknown,No flash function,3.6 mm,0,-5,0.1,-3.7,-90.1,5.2,-90,-89.8,0,10,sRGB,4000,3000,R98 - DCF basic file (sRGB),100,undef,Digital Camera,Unknown (0),Normal,Auto,Auto,undef,20 mm,Standard,None,Normal,Normal,Normal,"(Binary data 4 bytes, use -b option to extract)",Unknown,0.0.0.0,North,43.142893 N,West,116.735910 W,Above Sea Level,1568.6 m Above Sea Level,0.91.142,N,5cff19366b42ffffff5e03ff5c72ff4f,JPEG (old-style),41984,8278,DJI Meta Data,image/jpeg,1568.61,23.8,0,-89.8,-90,5.2,-90.1,-3.7,0,-5,0.1,0,0,7,FALSE,FALSE,FALSE,10,2,Dependent child image,JPEG,Large Thumbnail (VGA equivalent),307530,4656235,0,0,"(Binary data 66 bytes, use -b option to extract)",1,4000,3000,"Baseline DCT, Huffman coding",8,3,YCbCr4:2:2 (2 1),2.8,"43.142893 N, 116.735910 W",4000x3000,"(Binary data 307530 bytes, use -b option to extract)",12,5.5,1/924,"(Binary data 8278 bytes, use -b option to extract)",0.005 mm,84.0 deg,3.6 mm (35 mm equivalent: 20.0 mm),0.86 m,12.8,DCIM,DJI_0418.JPG
f:/k-database-mirror/remote-sensing/flights/paired_phenology/low_sage/20210428_los_paired/jpg/dji_0419_nadir.jpg,10.49,dji_0419_nadir.jpg,f:/k-database-mirror/remote-sensing/flights/paired_phenology/low_sage/20210428_los_paired/jpg,4.7 MB,2021:04:29 14:46:25-06:00,2022:03:06 00:27:14-07:00,2021:08:24 22:12:00-06:00,rw-rw-rw-,JPEG,jpg,image/jpeg,"Little-endian (Intel, II)",DCIM\100MEDIA\DJI_0419.JPG,DJI,FC330,Horizontal (normal),72,72,inches,v01.19.5266,2021:04:29 13:46:24,Centered,1/960,2.8,Program AE,100,230,2021:04:29 13:46:14,2021:04:29 13:46:14,"-, Cr, Cb, Y",3.043657333,1/959,2.8,0,2.8,0 m,Center-weighted average,Unknown,No flash function,3.6 mm,0,-5.1,0.1,-2.6,-90.2,4.5,-90,-89.8,0,10,sRGB,4000,3000,R98 - DCF basic file (sRGB),100,undef,Digital Camera,Unknown (0),Normal,Auto,Auto,undef,20 mm,Standard,None,Normal,Normal,Normal,"(Binary data 4 bytes, use -b option to extract)",Unknown,0.0.0.0,North,43.142894 N,West,116.736034 W,Above Sea Level,1568.2 m Above Sea Level,0.91.142,N,5cff19366b42ffffff5e03ff5c72ff4f,JPEG (old-style),41984,8448,DJI Meta Data,image/jpeg,1568.21,23.4,0,-89.8,-90,4.5,-90.2,-2.6,0,-5.1,0.1,0,0,7,FALSE,FALSE,FALSE,10,2,Dependent child image,JPEG,Large Thumbnail (VGA equivalent),306468,4624254,0,0,"(Binary data 66 bytes, use -b option to extract)",1,4000,3000,"Baseline DCT, Huffman coding",8,3,YCbCr4:2:2 (2 1),2.8,"43.142894 N, 116.736034 W",4000x3000,"(Binary data 306468 bytes, use -b option to extract)",12,5.5,1/960,"(Binary data 8448 bytes, use -b option to extract)",0.005 mm,84.0 deg,3.6 mm (35 mm equivalent: 20.0 mm),0.86 m,12.9,DCIM,DJI_0419.JPG
f:/k-database-mirror/remote-sensing/flights/paired_phenology/low_sage/20210428_los_paired/jpg/dji_0420_nadir.jpg,10.49,dji_0420_nadir.jpg,f:/k-database-mirror/remote-sensing/flights/paired_phenology/low_sage/20210428_los_paired/jpg,4.7 MB,2021:04:29 14:46:28-06:00,2022:03:06 00:27:24-07:00,2021:08:24 22:12:01-06:00,rw-rw-rw-,JPEG,jpg,image/jpeg,"Little-endian (Intel, II)",DCIM\100MEDIA\DJI_0420.JPG,DJI,FC330,Horizontal (normal),72,72,inches,v01.19.5266,2021:04:29 13:46:27,Centered,1/997,2.8,Program AE,100,230,2021:04:29 13:46:15,2021:04:29 13:46:15,"-, Cr, Cb, Y",3.024472,1/996,2.8,0,2.8,0 m,Center-weighted average,Unknown,No flash function,3.6 mm,0,-4.9,0.2,-2.7,-90.2,3.1,-90,-89.8,0,10,sRGB,4000,3000,R98 - DCF basic file (sRGB),100,undef,Digital Camera,Unknown (0),Normal,Auto,Auto,undef,20 mm,Standard,None,Normal,Normal,Normal,"(Binary data 4 bytes, use -b option to extract)",Unknown,0.0.0.0,North,43.142894 N,West,116.736157 W,Above Sea Level,1567.8 m Above Sea Level,0.91.142,N,5cff19366b42ffffff5e03ff5c72ff4f,JPEG (old-style),41984,8508,DJI Meta Data,image/jpeg,1567.81,23,0,-89.8,-90,3.1,-90.2,-2.7,0,-4.9,0.2,0,0,7,FALSE,FALSE,FALSE,10,2,Dependent child image,JPEG,Large Thumbnail (VGA equivalent),306535,4595536,0,0,"(Binary data 66 bytes, use -b option to extract)",1,4000,3000,"Baseline DCT, Huffman coding",8,3,YCbCr4:2:2 (2 1),2.8,"43.142894 N, 116.736157 W",4000x3000,"(Binary data 306535 bytes, use -b option to extract)",12,5.5,1/997,"(Binary data 8508 bytes, use -b option to extract)",0.005 mm,84.0 deg,3.6 mm (35 mm equivalent: 20.0 mm),0.86 m,12.9,DCIM,DJI_0420.JPG
