label,x,y,z,x_uncertainty,y_uncertainty,z_uncertainty,lon,lat,z_2,z_3,z_4
1,521526.515,4776759.933,1622.351,0.00153008,0.00209443,0.00252072,-116.7352821870011,43.14327937909216,1473.1930000000002,1508.6702872163846,1540.5106436081924
2,521496.582,4776756.76,1623.073,0.00175536,0.00263263,0.00341321,-116.73565040106912,43.14325165796198,1473.9150000000002,1509.3922872163846,1541.2326436081923
3,521495.418,4776702.869,1627.889,0.00158584,0.00231584,0.00263528,-116.73566680568037,43.142766415038274,1478.731,1514.2082872163844,1546.0486436081922
4,521414.463,4776694.543,1624.507,0.00163013,0.00212384,0.00255337,-116.736662635996,43.142693736789546,1475.3490000000002,1510.8262872163846,1542.6666436081923
5,521437.505,4776719.279,1624.717,0.00143156,0.00189417,0.00222431,-116.73637833041757,43.14291582630143,1475.5590000000002,1511.0362872163846,1542.8766436081924
6,521415.776,4776759.46,1621.785,0.00158264,0.00243794,0.00261744,-116.73664398083032,43.14327826224997,1472.6270000000002,1508.1042872163846,1539.9446436081923
7,521388.898,4776759.408,1621.089,0.00141776,0.00218357,0.00232255,-116.73697450599808,43.14327855426812,1471.931,1507.4082872163845,1539.2486436081922
8,521410.759,4776815.274,1617.385,0.00115621,0.00179195,0.00186289,-116.736703518845,43.14378099639128,1468.227,1503.7042872163845,1535.5446436081922
9,521433.109,4776798.957,1620.489,0.00199738,0.00312858,0.00320201,-116.7364293062088,43.143633432810745,1471.3310000000001,1506.8082872163845,1538.6486436081923
10,521470.082,4776800.927,1621.179,0.0012993,0.00203485,0.00207446,-116.73597456424058,43.14365012397232,1472.0210000000002,1507.4982872163846,1539.3386436081923
11,521490.479,4776814.98,1619.71,0.00225913,0.0036003,0.00359001,-116.73572319241312,43.14377608891811,1470.5520000000001,1506.0292872163845,1537.8696436081923
12,521449.432,4776757.83,1622.649,0.0017071,0.00238851,0.00257686,-116.73623017061588,43.14326263114327,1473.491,1508.9682872163844,1540.8086436081921
13,521473.725,4776718.991,1626.673,0.00149855,0.00216875,0.00206682,-116.73593294097854,43.14291220587831,1477.515,1512.9922872163845,1544.8326436081923
