,OBJNAME,lat,lon,ele,x,y,z
0,100,43.126071844,-116.753781195,1648.76145365,520027.813239,4774844.43234,1648.76145365
1,101,43.1253123811,-116.753858214,1650.79916409,520021.796079,4774760.07496,1650.79916409
2,103,43.1250031267,-116.753831581,1652.65599366,520024.063315,4774725.73838,1652.65599366
3,104,43.124862296,-116.753560699,1655.96018069,520046.143612,4774710.16377,1655.96018069
4,105,43.1250666931,-116.753444438,1656.04929653,520055.533874,4774732.89005,1656.04929653
5,106,43.1247076949,-116.754545753,1646.54078478,519966.066523,4774692.76007,1646.54078478
6,107,43.1249506289,-116.754619863,1645.62726746,519959.959181,4774719.72043,1645.62726746
7,108,43.1252042285,-116.754398627,1645.9942833,519977.872625,4774747.93558,1645.9942833
8,110,43.1253093916,-116.754131677,1648.21793035,519999.552847,4774759.67769,1648.21793035
9,111,43.1266425007,-116.754661738,1646.18455773,519956.002971,4774907.5942,1646.18455773
10,112,43.1269132229,-116.754555021,1646.21631435,519964.595395,4774937.68355,1646.21631435
11,114,43.1272379349,-116.754286199,1642.44031415,519986.355739,4774973.80716,1642.44031415
12,115,43.1273591099,-116.754573934,1644.61643177,519962.911986,4774987.19517,1644.61643177
13,116,43.1272728659,-116.754887342,1646.0028639,519937.447403,4774977.5431,1646.0028639
14,117,43.1275701166,-116.755466058,1642.57832009,519890.278388,4775010.41554,1642.57832009
15,118,43.1270825875,-116.755643712,1643.13618353,519875.985945,4774956.23288,1643.13618353
16,119,43.1267096487,-116.755350296,1645.02824935,519899.973302,4774914.88733,1645.02824935
17,120,43.1270031909,-116.754926607,1646.85622862,519934.341177,4774947.58612,1646.85622862
